obs,time,elapsed,date,hhmmss,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_?F,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,F:MN,F:SLP,F:SD,F:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1573428738,0,20191110 17:32:18,17:32:18,0.000963299,3.504511192,399.8229677,268.5538536,22.58146088,33.61927816,0.047161017,2.003617804,0.046552892,0.029149542,16.49443371,25.85784573,25.10494839,3.199627076,44.50449674,1.508394336,3.389307703,1.69123274,-42.48148626,104.8084383,11.13063339,89.95201919,-0.034850181,0.039122382,3.023490045,13,4,1,0,44575.6755,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-44-20180822-19_57_31,811.5836538,2249.8,0.639264088,0.5,84.28429423,3.504511192,26.93996126,0.695128456,0.043264198,-0.908652325,DARK-45-20180822-19_57_33,685.9,1563.9,0.919634469,4.25550703,0.668757307,-19.23230477,44,300,300,300,10513.1,2221.59,-0.008664,-11.0415,99.99916452,84.28429423,0.842849984,0.195699968,6,0.5,0: Broadleaf,1573428730,399.8229677,407.6028387,17.93883548,16.04666452,299.9787742,83.98545806,0.09995191,26.07522581,25.10494839,999.9,0,0,10006.84032,0,0.001648539,99.99916452,0.899983935,0.100016058,0,811.5226129,4.99974,778.4310968,801.9044839,35.95325806,39.758,37.86890323,39.94919355,39.24993548,85.49774194,9.499677419,0,10366.4,811.5836538,11.17822221,8.803931583,778.4601923,15,0,--:--:--,0,0,0,0,0,0,0,-7.743196585,-0.632236516,0.066543827,0,810.9965588,11.77271625,1.199960617,0,1.868017561,0.478804599,0.047219638,0,0,3,0/3,1.86357,1.85846,1.86966,1.86692,1.86655,1.86468,1.8631,1.86739,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,270.509,1292.59,25.0005,26.7358,30.0008,26.4498,26.5955,32.9096,7.89992,36.16,25,407.844,16,101.68,139.072
2,1573429099,360.5,20191110 17:38:18,17:38:18,0.000618095,3.137907763,400.0815806,219.431807,18.45047009,33.64003305,0.029695811,2.002621588,0.029453332,0.018429953,14.84186383,25.86023679,24.89788065,3.160370297,42.89008779,1.44415558,3.367108005,1.716214717,-27.25799955,115.1206506,12.21233799,114.9168528,-0.034825683,0.03909488,3.021776881,13,4,1,0,44562.1182,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-46-20180822-20_03_32,833.0032308,2459.65,0.661332616,0.5,75.85187436,3.137907763,25.08165925,0.712511943,0.043240711,-0.916445836,DARK-47-20180822-20_03_34,707.12,1752.53,0.92817057,4.493837793,0.689131431,-21.20653888,46,300,300,300,10513.4,2440.9,-0.00867315,-10.9229,89.99616452,75.85187436,0.842834523,0.195669045,6,0.5,0: Broadleaf,1573429091,400.0815806,406.8531935,17.17537097,15.96019355,299.9459355,83.98296774,0.099966032,25.96415484,24.89788065,999.9,0,0,10000.10226,0,0.001818385,89.99616452,0.899924903,0.100075097,0,833.0096452,4.99974,716.2060323,717.4577419,36.12093548,39.875,38.062,39.99187097,39.375,76.49032258,8.502903226,0,359.8999999,833.0032308,-0.342837615,-0.05945303,716.2140385,15,0,--:--:--,0,0,0,0,0,0,0,-6.788066585,0.421672056,0.044602586,1,832.9885882,0.122370845,0.241924772,1,1.228591951,-0.316983345,0.031268494,0,2,3,2/3,1.86357,1.85843,1.86966,1.86691,1.86656,1.86467,1.8631,1.86739,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,270.536,1288.75,24.9989,27.0241,29.9999,26.688,26.8556,32.8236,8.75573,36.5324,25,406.734,16,101.647,139.038
3,1573429459,721,20191110 17:44:19,17:44:19,0.000268067,2.856283482,399.9847419,34.95120365,2.938841831,33.63237224,0.012813942,2.002495694,0.012768563,0.007984416,13.18911624,25.70594148,24.61903871,3.108171652,41.94971548,1.390103923,3.313738621,1.718067729,-11.82175089,116.1045427,12.28355995,129.755468,-0.034822587,0.039091405,3.021560402,13,4,1,0,44598.57169,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-48-20180822-20_09_32,832.4551923,2571.52,0.676278935,0.5,67.4211675,2.856283482,22.79775769,0.720764373,0.044470673,-0.92008073,DARK-49-20180822-20_09_34,718.06,1853.46,0.938280194,4.616182743,0.703419705,-22.25899335,48,300,300,300,10515.1,2571.52,-0.00868335,-1.12231,79.99555806,67.4211675,0.84281139,0.19562278,6,0.5,0: Broadleaf,1573429451,399.9847419,405.9112903,16.53229677,16.00506774,300.0234839,83.98412903,0.100008965,25.69449355,24.61903871,999.9,0,0,9999.075161,0,0.001757042,79.99555806,0.900065516,0.099934355,0,832.4564194,4.99974,632.3728065,633.0640323,35.762,39.49593548,37.758,39.51,39.046,67.50064516,7.496774194,0,360,832.4551923,-0.591008546,2.100752094,632.3916538,15,0,--:--:--,0,0,0,0,0,0,0,-5.914895366,-0.253276307,0.031849372,1,832.4330588,0.625140815,0.236662323,1,0.528247537,-0.022896627,0.002338254,1,3,3,3/3,1.86356,1.8584,1.86966,1.86691,1.86649,1.86464,1.86308,1.86738,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,270.033,1295.77,24.9992,26.6611,29.9995,26.4375,26.5721,32.7447,8.19924,37.6516,25,405.979,16,101.72,139.115
4,1573429820,1081.5,20191110 17:50:19,17:50:19,0.000315603,2.905674591,399.9750645,81.05665261,6.81499699,33.62868775,0.015011799,2.002426598,0.014949557,0.009349044,11.53728622,25.72185144,24.72868387,3.128606401,42.17394374,1.401458787,3.323044188,1.727147615,-13.91809291,109.3690309,11.58049358,118.5687178,-0.034820888,0.039089498,3.02144159,14,5,1,0,44589.26993,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-50-20180822-20_15_33,827.0403462,2675.13,0.690841063,0.5,58.99213708,2.905674591,20.37709535,0.729575759,0.051662068,-0.92317607,DARK-51-20180822-20_15_35,723.42,1951.71,0.946907919,4.768463775,0.717451067,-23.2337391,50,300,300,300,10515.8,2675.13,-0.00869291,9.78442,69.99652581,58.99213708,0.842786644,0.195573288,6,0.5,0: Broadleaf,1573429812,399.9750645,406.0389677,16.66876129,16.04806774,299.9956774,83.97696774,0.099992877,25.74178387,24.72868387,999.9,0,0,9999.44,0,0.001668576,69.99652581,0.899987226,0.100012787,0,827.0404194,4.99974,545.1492903,548.6485161,35.58841935,39.23983871,37.5,39.375,38.81606452,58.49580645,6.501935484,0,359.9000001,827.0403462,-0.416307686,0.048649589,545.1215769,15,0,--:--:--,0,0,0,0,0,0,0,-6.055678049,-0.238411359,0.033628125,1,827.0743529,-0.420126796,0.186304129,1,0.616298244,0.108556495,0.010732214,0,2,3,2/3,1.86356,1.85843,1.86966,1.86691,1.86657,1.86468,1.8631,1.8674,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,269.823,1296.63,25.0037,26.2753,30.0006,26.0734,26.1929,32.7285,9.31972,39.153,25,406.129,16,101.772,139.161
5,1573430180,1442.1,20191110 17:56:20,17:56:20,0.000603387,3.018152118,399.9479677,221.3243566,18.6138215,33.63642482,0.028910512,2.00490769,0.028680895,0.017946037,9.885305972,25.82136692,24.90722903,3.162133488,42.81047712,1.44122264,3.366518519,1.720910848,-26.6093724,113.9218802,12.07177559,109.2695893,-0.034881914,0.039158005,3.025708579,13,4,1,0,44631.97321,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-52-20180822-20_21_33,816.3191538,2715.07,0.699337714,0.5,50.56119236,3.018152118,17.67967433,0.733944245,0.062501163,-0.924306187,DARK-53-20180822-20_21_35,722.36,1992.71,0.952848556,4.855519826,0.725863703,-23.60948802,52,300,300,300,10513.7,2715.07,-0.00869967,13.4702,59.99506452,50.56119236,0.842755863,0.195511726,6,0.5,0: Broadleaf,1573430172,399.9479677,406.4676774,17.13660323,15.95037097,299.9650968,84.00203548,0.099966597,25.96119677,24.90722903,999.9,0,0,10013.97548,0,0.00158874,59.99506452,0.899849323,0.100150484,0,816.3265806,4.99974,457.8290968,464.2088387,35.937,39.70732258,37.875,39.87093548,39.2113871,49.48741935,5.511612903,0,360,816.3191538,-0.388307685,0.083042729,457.9048846,15,0,--:--:--,0,0,0,0,0,0,0,-6.509832195,-0.282396167,0.033506944,1,816.3614412,-0.549955978,0.246388048,1,1.181986098,0.085732474,0.008477488,1,3,3,3/3,1.86357,1.85846,1.86966,1.86691,1.8666,1.86469,1.86306,1.86739,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,270.494,1291.99,24.9991,26.7933,30.0003,26.4201,26.5993,32.7444,10.5255,39.5232,25,406.372,16,101.681,139.058
6,1573430541,1802.6,20191110 18:02:20,18:02:20,0.000628313,2.776534078,399.9920323,247.0284069,20.77317798,33.63623552,0.031401252,2.000974526,0.031130039,0.019480446,8.23289637,25.5089709,24.58195806,3.101287319,43.81351669,1.449941871,3.309348303,1.651345448,-27.70859426,117.6052625,12.44806948,110.5776341,-0.034785196,0.03904943,3.018945003,13,4,1,0,44556.1409,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-54-20180822-20_27_34,804.9452308,2739.01,0.706118185,0.5,42.13077192,2.776534078,14.87465209,0.736729694,0.069272771,-0.92496778,DARK-55-20180822-20_27_36,721.1,2017.91,0.95844947,4.913818451,0.732658464,-23.83471158,54,300,300,300,10514.3,2739.01,-0.00870902,14.4878,49.9946,42.13077192,0.842706451,0.195412901,6,0.5,0: Broadleaf,1573430533,399.9920323,406.0467419,17.24227419,16.00751935,300.0494839,83.99221935,0.100044519,25.67214194,24.58195806,999.9,0,0,9987.376452,0,0.001549593,49.9946,0.899716,0.100284,0,804.9551613,4.99974,371.226129,379.7835806,35.633,39.387,37.649,39.45732258,38.94106452,40.48193548,4.51,0,360,804.9452308,-0.863794873,0.293846152,371.2344231,15,0,--:--:--,0,0,0,0,0,0,0,-6.059206098,0.025902857,0.020516984,1,804.9653235,-0.376731154,0.162861854,1,1.233236098,0.033451568,0.003350445,1,3,3,3/3,1.86356,1.85839,1.86966,1.86691,1.86651,1.86468,1.8631,1.8674,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,270.326,1293.62,24.9992,26.5921,29.9996,26.3311,26.4777,32.6882,10.2413,40.27,25,405.978,16,101.733,139.115
7,1573430901,2163.1,20191110 18:08:21,18:08:21,0.000658123,2.49889871,400.0133226,270.7722156,22.76533036,33.63135105,0.033940295,2.001654328,0.033623794,0.021043062,6.57713709,25.21825824,24.32994839,3.054851684,44.61514711,1.453347788,3.257521003,1.601503896,-29.02324627,116.1532303,12.25820679,105.9653279,-0.034801904,0.039068186,3.020113742,14,5,1,0,44616.0236,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-56-20180822-20_33_34,795.2643846,2768.83,0.712779627,0.5,33.68572275,2.49889871,12.00524845,0.740085162,0.078397603,-0.925775869,DARK-57-20180822-20_33_36,719.66,2049.17,0.963104874,4.985579971,0.739271029,-24.11525321,56,300,300,300,10516,2768.83,-0.00871923,16.4294,39.97712258,33.68572275,0.842624996,0.195249992,6,0.5,0: Broadleaf,1573430893,400.0133226,405.5384194,17.28620645,15.99252903,299.9574839,83.9756,0.099977365,25.40630645,24.32994839,999.9,0,0,9994.150968,0,0.001553908,39.97712258,0.899929097,0.100070961,0,795.2737419,4.99974,285.6358387,295.2456452,35.185,38.927,37.187,38.94512903,38.45325806,31.47677419,3.497741935,0,360,795.2643846,-0.221743596,-0.752888878,285.6797692,15,0,--:--:--,0,0,0,0,0,0,0,-5.525296585,0.077781115,0.026203582,1,795.2379118,0.208757396,0.216659175,1,1.297036341,-0.064374564,0.006389283,1,3,3,3/3,1.86356,1.85838,1.86966,1.86691,1.86655,1.86463,1.86309,1.86741,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,269.792,1297.08,25.001,26.1134,29.9996,25.9245,26.0475,32.619,10.5188,41.3912,25,405.524,16,101.82,139.202
8,1573431262,2523.6,20191110 18:14:21,18:14:21,0.000588282,2.131872283,399.9985806,267.6346811,22.50630696,33.63723567,0.028332902,2.00301719,0.028112124,0.01758977,4.930472366,25.69783161,24.87807419,3.156637457,43.14640488,1.445024693,3.349119578,1.711612764,-25.94322586,107.5125665,11.39667343,97.89648641,-0.03483541,0.0391058,3.022457158,14,5,1,0,44587.77635,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-58-20180822-20_39_35,789.8370385,2801.13,0.718029139,0.5,25.28479554,2.131872283,9.077609983,0.740083466,0.089929677,-0.926631752,DARK-59-20180822-20_39_37,728.06,2073.07,0.970200216,4.967248816,0.744396621,-24.41912627,58,300,300,300,10513.8,2801.13,-0.0087264,14.0991,30.01167097,25.28479554,0.842498759,0.194997518,6,0.5,0: Broadleaf,1573431254,399.9985806,404.7330645,17.18357097,16.02719677,299.9926774,83.99342903,0.099958532,25.87368387,24.87807419,999.9,0,0,10001.64968,0,0.001659328,30.01167097,0.900169387,0.099831,0,789.8273871,4.99974,205.0694516,211.1390645,35.562,39.433,37.52,39.60264516,38.883,22.51516129,2.5,0,359.8999999,789.8370385,-0.654735042,1.331316277,205.0682692,15,0,--:--:--,0,0,0,0,0,0,0,-4.729524146,-0.015561742,0.024756462,1,789.8273824,-0.178224852,0.17204514,1,1.158286829,-0.041536307,0.00414592,1,3,3,3/3,1.86356,1.85837,1.86966,1.86691,1.8666,1.8647,1.86309,1.86739,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,270.143,1291.97,24.9993,26.5212,30.0005,26.1469,26.3231,32.563,11.0661,42.1411,25,404.73,16,101.722,139.088
9,1573431622,2884.1,20191110 18:20:22,18:20:22,0.000317474,1.756851451,400.0046774,204.7010729,17.21385155,33.63744525,0.015234062,2.003021286,0.015169986,0.009486975,3.274012242,25.59040479,24.62421613,3.109133945,42.17578737,1.396410201,3.310928587,1.712723744,-14.00058597,114.0313623,12.06050205,115.3652906,-0.034835511,0.039105913,3.022464201,14,5,1,0,44616.76826,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-60-20180822-20_45_35,787.3938077,2859.25,0.724615264,0.5,16.83188779,1.756851451,6.098321405,0.744387514,0.112811628,-0.928123109,DARK-61-20180822-20_45_37,730.86,2128.39,0.973438229,5.051406121,0.750664269,-24.96590963,60,300,300,300,10514.3,2859.25,-0.00873581,8.49512,19.98428387,16.83188779,0.84225624,0.19451248,6,0.5,0: Broadleaf,1573431614,400.0046774,403.7725161,16.60561935,15.98119032,299.9877419,83.99264516,0.099984632,25.68019032,24.62421613,999.9,0,0,10001.77194,0,0.001800817,19.98428387,0.899649065,0.100350806,0,787.4076452,4.99974,124.0387419,126.4766774,35.391,39.25,37.437,39.33029032,38.7113871,13.48064516,1.502903226,0,360.1000001,787.3938077,0.085367524,0.236273498,124.1714231,15,0,--:--:--,0,0,0,0,0,0,0,-3.77411122,0.016663902,0.022922898,1,787.4055882,0.181460261,0.22461773,1,0.628290951,-0.074206746,0.007349219,1,3,3,3/3,1.86356,1.85838,1.86966,1.86691,1.8666,1.8647,1.8631,1.86738,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,270.093,1294.62,24.999,26.5526,29.9998,26.2459,26.4062,32.4781,11.3429,42.5158,25,403.808,16,101.739,139.106
10,1573431983,3245,20191110 18:26:23,18:26:23,0.000207711,1.373922725,399.9918065,173.3024451,14.5717288,33.63237098,0.010141916,2.002502047,0.010113467,0.006323466,1.652485881,25.35256669,24.36352258,3.061002801,42.33161829,1.379710031,3.259289596,1.68129277,-9.160054885,113.563698,11.98242229,118.0385513,-0.034822743,0.03909158,3.021571326,14,5,1,0,44640.43725,0,99.21961538,205.514,106.2943846,0.517212378,-0.14198122,MPF-62-20180822-20_51_36,788.6234615,2936.2,0.731413575,0.5,8.431275092,1.373922725,3.083374528,0.747421838,0.179795337,-0.930006812,DARK-63-20180822-20_51_38,741.62,2194.58,0.978582024,5.093556125,0.756993792,-25.68984251,62,300,300,300,10517.6,2936.2,-0.00874347,-1.95093,10.00154355,8.431275092,0.842997388,0.195994777,6,0.5,0: Broadleaf,1573431975,399.9918065,402.9060323,16.40897419,16.00033871,299.977871,83.98267419,0.099975606,25.41543871,24.36352258,999.9,0,0,9999.293226,0,0.001529556,10.00154355,0.899579839,0.100420219,0,788.6187097,0.0499974,78.41612903,83.99451613,34.82825806,38.687,36.887,38.5,37.875,8.952903226,0.999354839,0,360.0999999,788.6234615,-4.229401893,-0.068034125,78.39653846,15,0,--:--:--,0,0,0,0,0,0,0,-2.910272683,-0.038812683,0.030679811,1,788.7014706,-2.410886607,1.779506099,0,0.408869317,-0.0093577,0.001124268,1,2,3,2/3,1.86356,1.85837,1.86963,1.86691,1.86658,1.86467,1.86307,1.86738,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,0,0,2,269.764,1299.86,25.002,26.1399,29.9999,25.9319,26.0598,32.3962,11.0657,43.2565,25,402.906,16,101.818,139.184
