ID,psi,mass,bag_mass,leaf_mass,leaf_area
L2,-0.14,3.476,1.5322,0.5689,96.42
L2,-0.8,3.4256,1.5322,0.5689,96.42
L2,-1.2,3.3886,1.5322,0.5689,96.42
L2,-1.75,3.3315,1.5322,0.5689,96.42
L2,-2.15,3.2268,1.5322,0.5689,96.42
L2,-2.47,3.1457,1.5322,0.5689,96.42
L2,-3.01,3.066,1.5322,0.5689,96.42
L2,-4.22,2.9759,1.5322,0.5689,96.42
L3,-0.100,2.4087,1.1410,0.3942,59.94
L3,-0.740,2.3918,1.1410,0.3942,59.94
L3,-1.090,2.3653,1.1410,0.3942,59.94
L3,-1.640,2.3187,1.1410,0.3942,59.94
L3,-2.150,2.2425,1.1410,0.3942,59.94
L3,-2.490,2.1835,1.1410,0.3942,59.94
L3,-2.910,2.114,1.1410,0.3942,59.94
L3,-4.320,2.0392,1.1410,0.3942,59.94
L4,-0.130,4.01,1.5841,0.7429,106.36
L4,-0.930,3.97,1.5841,0.7429,106.36
L4,-1.400,3.9099,1.5841,0.7429,106.36
L4,-1.950,3.8383,1.5841,0.7429,106.36
L4,-2.340,3.6965,1.5841,0.7429,106.36
L4,-2.870,3.6034,1.5841,0.7429,106.36
L4,-3.720,3.4956,1.5841,0.7429,106.36
L4,-4.720,3.3713,1.5841,0.7429,106.36
